id,position,company,location,job_type,job_status,create_date,user_id
27,Developer I,Myworks,Philippines,full-time,declined,8/14/2023,1
28,Account Coordinator,Pixonyx,China,full-time,pending,4/18/2024,1
29,Assistant Professor,Browsedrive,Malaysia,full-time,interview,11/18/2023,1
30,Systems Administrator II,Zoomlounge,China,internship,pending,2/8/2024,1
31,Sales Representative,Kazio,Sudan,internship,interview,9/10/2023,1
32,Software Test Engineer I,Topicware,China,full-time,pending,7/15/2023,1
33,Human Resources Manager,Jabbersphere,Nigeria,full-time,declined,12/1/2023,1
34,VP Accounting,Zava,Greece,part-time,declined,11/20/2023,1
35,Associate Professor,Vitz,Peru,full-time,pending,4/3/2024,1
36,Engineer IV,Wikizz,China,internship,declined,10/9/2023,1
37,Research Associate,Topiczoom,Portugal,part-time,pending,7/28/2023,1
38,VP Product Management,Centimia,France,full-time,interview,4/5/2024,1
39,Nuclear Power Engineer,Eadel,Cameroon,full-time,interview,5/17/2023,1
40,Statistician I,Riffwire,China,internship,declined,11/15/2023,1
41,Account Representative III,Divanoodle,Brazil,full-time,interview,1/10/2024,1
42,VP Product Management,Flipbug,Nigeria,internship,declined,11/12/2023,1
43,Senior Sales Associate,Voonte,Cameroon,part-time,interview,3/30/2024,1
44,Quality Engineer,Jayo,Sweden,full-time,pending,2/15/2024,1
45,Quality Engineer,Shufflebeat,Greece,part-time,interview,6/23/2023,1
46,Senior Developer,Buzzbean,China,part-time,interview,9/12/2023,1
47,Operator,Voonyx,Serbia,full-time,pending,8/21/2023,1
48,Programmer III,Meezzy,Macedonia,internship,pending,3/13/2024,1
49,Administrative Officer,Thoughtbeat,Brazil,full-time,interview,2/14/2024,1
50,Human Resources Assistant II,Jaxworks,Russia,part-time,interview,1/28/2024,1
51,Web Designer I,LiveZ,United States,internship,pending,4/12/2024,1
52,Quality Engineer,Vitz,Indonesia,part-time,pending,4/26/2024,1
53,Geological Engineer,Realpoint,Indonesia,internship,pending,5/3/2024,1
54,Speech Pathologist,Vimbo,China,internship,pending,9/2/2023,1
55,Staff Scientist,Kayveo,China,full-time,declined,8/5/2023,1
56,Civil Engineer,Gigaclub,Russia,full-time,interview,9/20/2023,1
57,Environmental Specialist,Blogtags,United States,full-time,declined,5/17/2023,1
58,VP Sales,Innotype,Indonesia,part-time,pending,7/15/2023,1
59,Help Desk Operator,Skyndu,Finland,internship,declined,4/18/2024,1
60,Nurse Practicioner,Buzzdog,Kenya,part-time,declined,1/7/2024,1
61,Pharmacist,Divape,China,internship,interview,3/4/2024,1
62,Pharmacist,Babblestorm,Colombia,part-time,interview,3/30/2024,1
63,Cost Accountant,Rhyloo,France,internship,pending,5/4/2024,1
64,Mechanical Systems Engineer,Jamia,Indonesia,part-time,interview,12/1/2023,1
65,Senior Quality Engineer,Kwimbee,China,internship,declined,12/29/2023,1
66,Food Chemist,Wikivu,Ukraine,full-time,pending,3/22/2024,1
67,Project Manager,Flipbug,Germany,part-time,pending,7/26/2023,1
68,Compensation Analyst,Gabtune,China,internship,declined,3/22/2024,1
69,Senior Developer,Twimbo,Peru,full-time,declined,4/3/2024,1
70,VP Product Management,Edgepulse,Sweden,internship,interview,4/11/2024,1
71,Software Engineer II,Dazzlesphere,Portugal,internship,interview,8/4/2023,1
72,Cost Accountant,Skinder,Ukraine,part-time,pending,6/2/2023,1
73,Compensation Analyst,Izio,Macedonia,internship,interview,9/15/2023,1
74,Financial Advisor,Pixope,Netherlands,internship,interview,9/25/2023,1
75,Speech Pathologist,Livetube,Colombia,internship,pending,3/7/2024,1
76,Budget/Accounting Analyst III,Innotype,Canada,part-time,interview,10/13/2023,1
77,Web Designer IV,Bubblebox,Tajikistan,internship,pending,7/8/2023,1
78,Environmental Specialist,Zazio,Russia,full-time,declined,9/13/2023,1
79,Accountant I,Divavu,Morocco,full-time,interview,8/5/2023,1
80,Payment Adjustment Coordinator,Edgeify,Russia,part-time,interview,1/8/2024,1
81,Data Coordinator,Zoozzy,Comoros,full-time,interview,7/26/2023,1
82,Safety Technician I,Riffpath,France,part-time,declined,9/15/2023,1
83,Graphic Designer,Jetpulse,China,internship,declined,1/30/2024,1
84,Systems Administrator III,Quamba,Poland,full-time,interview,3/11/2024,1
85,Occupational Therapist,Twimbo,United States,internship,interview,8/9/2023,1
86,Compensation Analyst,Quaxo,China,part-time,declined,2/28/2024,1
87,Clinical Specialist,Feedbug,Guinea-Bissau,part-time,interview,10/2/2023,1
88,Dental Hygienist,Oodoo,Indonesia,full-time,interview,5/11/2023,1
89,Budget/Accounting Analyst I,Gabcube,Spain,part-time,interview,5/24/2023,1
90,Nurse,Bubblemix,Slovenia,full-time,declined,8/7/2023,1
91,Teacher,Mydo,Malta,part-time,pending,12/16/2023,1
92,Cost Accountant,Skipstorm,Indonesia,internship,pending,1/26/2024,1
93,Paralegal,Jabbersphere,China,part-time,pending,9/15/2023,1
94,Web Developer I,Digitube,Portugal,full-time,declined,10/22/2023,1
95,Cost Accountant,Kwimbee,Nigeria,internship,pending,8/8/2023,1
96,Pharmacist,Browsedrive,Thailand,part-time,pending,8/18/2023,1
97,Marketing Manager,Voolith,Portugal,internship,pending,3/28/2024,1
98,Database Administrator I,Linkbridge,France,part-time,interview,6/19/2023,1
99,Social Worker,Trupe,Netherlands,internship,interview,3/29/2024,1
100,Human Resources Manager,Realpoint,Poland,internship,pending,4/15/2024,1
